DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,QHnd,total_effective_ventilation_flow,ventilation_type,air_changes,Interfloor,system_performance,corridor,aereo,air_changes_max
8,1970,3396,0.0,164.15,579.5,164.15,0.0,650.7,0.0,456.07,34.71,1.3732,4.1645,0.8877,40927.14,0.8906,0.06,0,31.1,2006.0,71669.34,3903.07,0,2.65,3.964057264696924,0.624,1234.5142648173469,5.471666666666667,14.984647302904566
4,1900,3224,0.0,145.38,623.28,224.66,0.0,930.86,0.0,391.82,46.72,1.1469,2.2575,0.02,107029.61,0.6696,0.04,1,49.19,2021.0,35139.31,309.93,0,0.5,4.143416718596991,0.827,1739.4694749619923,7.488666666666666,14.33599467159401
4,1970,2978,1.0,330.04,555.74,330.04,0.0,1367.34,0.0,497.19,58.54,0.2677,3.3538,0.0266,53367.34,0.4064,17.15,2,175.0,2006.0,39378.22,495.06,0,0.5,4.142952369409768,0.715,2549.3562989686943,11.001333333333331,14.337601474395546
13,1990,3014,,5583.85,11462.75,5583.85,0.0,26820.03,0.0,10790.58,791.12,0.8681,3.1165,0.3282,1842434.0,0.4274,215.44,1,870.67,1990.0,928963.58,11106.9551,2,3.44,4.8031429927379845,0.699,47851.14826618751,186.12833333333336,12.366902274158532
13,1934,3182,0.0,646.5599,1848.66,646.56,0.0,3413.05,0.0,1686.94,209.72,1.1553,4.6224,0.2052,305034.2,0.5416,50.21,1,104.08,2008.0,191078.5,0.0,0,0.32,5.27878309824301,0.701,5964.943636116435,21.552,11.252593428165422
5,2008,3096,,305.79,1002.88,305.79,0.0,1173.54,0.0,950.48,52.4,0.3138,1.4243,0.0325,165476.0,0.8546,20.75,1,112.8,2016.0,26595.77,0.0,0,1.2165,3.8377317767095063,0.697,2237.592962771989,10.193,15.477892530292962
8,1985,3227,0.0,193.35,578.58,193.35,0.0,797.57,0.0,460.44,14.81,2.9856,2.7,0.1254,27971.95,0.7254,7.39,0,110.0,1985.0,124133.87,4532.1859,0,7.1031,4.125006464959918,0.642,1493.977267456895,6.444999999999999,14.399977431448022
4,1900,3091,0.0,183.86,547.56,183.86,183.86,787.8,787.8,524.3,23.26,0.9102,2.0762,0.1379,90346.63,0.695,8.06,1,34.1,2021.0,22047.41,0.0,0,0.5031,4.284781899271184,0.767,1460.905043372232,6.128666666666667,13.863015993907084
13,1950,3449,0.0,333.77,2429.56,878.72,0.0,4566.04,0.0,2171.99,257.57,1.3445,2.0868,0.1864,351025.17,0.5321,0.05,0,201.0,2012.0,230561.14,2055.1827,0,4.0,5.196239985433357,0.579,8004.129495150099,29.290666666666667,11.43134269520197
4,1900,2863,0.0,385.0,1001.67,385.0,385.0,2144.33,2144.33,978.95,22.72,1.1003,1.7,0.0086,109050.25,0.4671,11.14,5,45.59,2012.0,81705.35,1929.192,0,0.6674,5.569688311688312,0.768,3708.490150206383,12.833333333333334,10.664869679573574
